customer_address_city,customer_address_country,customer_customer_id,customer_name,event_timestamp,order_id,product,price,quantity
Delhi,INDIA,36,David Lee,2026-04-05 23:39:56.739717,2,Tablet,500,1
Chennai,INDIA,78,Warren Lewis,2026-01-29 23:39:56.739955,4,Keyboard,500,1
Delhi,INDIA,31,Cameron Moore,2026-02-15 23:39:56.740054,5,Keyboard,500,2
Delhi,INDIA,81,Tonya Moran,2026-04-01 23:39:56.740278,7,Monitor,1000,2
Chennai,INDIA,58,Nathan Howard,2026-04-25 23:39:56.740391,8,Tablet,500,1
Delhi,INDIA,43,Bruce Deleon,2026-03-27 23:39:56.740488,9,Tablet,1000,1
Delhi,INDIA,80,Crystal Snyder DVM,2026-03-11 23:39:56.740592,10,Monitor,500,2
Chennai,INDIA,47,Sabrina Sanchez,2026-02-27 23:39:56.740711,11,Laptop,500,1
Delhi,INDIA,23,Pamela Harris,2026-02-04 23:39:56.740839,12,Phone,500,1
,INDIA,77,Mark Adams,2026-02-01 23:39:56.740936,13,Keyboard,1000,2
,INDIA,38,Rebecca Perez,2026-05-01 23:39:56.741031,14,Tablet,500,2
,INDIA,32,Tiffany Turner,2026-04-18 23:39:56.741124,15,Laptop,1000,1
Delhi,INDIA,2,Doris Reed,2026-03-14 23:39:56.741233,16,Keyboard,1000,2
,INDIA,50,Gregory James,2026-02-07 23:39:56.741428,18,Tablet,1000,2
Delhi,INDIA,69,Edward Cohen,2026-04-02 23:39:56.741625,20,Keyboard,500,2
Chennai,INDIA,74,Bradley Brown,2026-02-05 23:39:56.741727,21,Laptop,500,1
,INDIA,56,Philip Marshall,2026-04-18 23:39:56.741929,23,Tablet,1000,1
Delhi,INDIA,88,William Torres,2026-04-25 23:39:56.742304,27,Monitor,500,2
Delhi,INDIA,24,Daniel Nelson,2026-01-30 23:39:56.742397,28,Laptop,1000,2
Delhi,INDIA,88,Margaret Davidson,2026-03-28 23:39:56.742583,30,Laptop,1000,2
,INDIA,4,Crystal Hutchinson,2026-04-24 23:39:56.742676,31,Laptop,500,1
Chennai,INDIA,88,Alec David,2026-05-02 23:39:56.742773,32,Keyboard,500,2
Chennai,INDIA,69,Jessica Day,2026-04-12 23:39:56.742889,33,Phone,500,2
Chennai,INDIA,78,Gabriela Olson,2026-04-05 23:39:56.742988,34,Monitor,1000,1
Chennai,INDIA,47,Michelle Wright,2026-03-26 23:39:56.743085,35,Phone,1000,1
,INDIA,68,Paula Hall,2026-03-19 23:39:56.743179,36,Tablet,1000,1
Delhi,INDIA,11,Brittany Robinson,2026-04-12 23:39:56.743273,37,Tablet,1000,2
Delhi,INDIA,12,Marie Cook,2026-03-29 23:39:56.743381,38,Keyboard,500,1
,INDIA,23,Anna Edwards,2026-04-13 23:39:56.743566,40,Phone,500,2
,INDIA,29,Andrew Peters,2026-02-22 23:39:56.743656,41,Phone,1000,1
Chennai,INDIA,38,Jason Norris,2026-04-05 23:39:56.743872,43,Phone,1000,1
,INDIA,80,Bethany Hanna,2026-03-19 23:39:56.743998,44,Laptop,1000,2
Chennai,INDIA,29,Gabriel Ochoa,2026-04-28 23:39:56.744185,46,Laptop,500,2
,INDIA,37,Danielle Garcia,2026-04-25 23:39:56.744370,48,Laptop,1000,1
Delhi,INDIA,72,Shirley Terry,2026-04-07 23:39:56.744485,49,Keyboard,500,2
Delhi,INDIA,5,Connie Morrison,2026-02-17 23:39:56.744581,50,Laptop,500,2
Delhi,INDIA,48,Matthew Clark,2026-02-03 23:39:56.744673,51,Keyboard,500,1
Chennai,INDIA,41,Arthur Woods,2026-04-14 23:39:56.744764,52,Phone,1000,2
Delhi,INDIA,45,Richard Poole,2026-03-30 23:39:56.744853,53,Monitor,1000,1
Chennai,INDIA,65,Ryan Gonzalez,2026-04-28 23:39:56.744953,54,Monitor,500,2
,INDIA,32,Alexandra Snyder,2026-03-15 23:39:56.745063,55,Keyboard,500,1
,INDIA,67,Ryan Thompson,2026-04-07 23:39:56.745154,56,Tablet,1000,1
Delhi,INDIA,83,Kerri Miller,2026-02-27 23:39:56.745424,59,Monitor,500,2
Chennai,INDIA,47,Michael Campbell,2026-04-18 23:39:56.745535,60,Phone,1000,2
Delhi,INDIA,6,Antonio Perez,2026-03-14 23:39:56.745628,61,Tablet,500,2
Delhi,INDIA,54,Jaime Smith,2026-04-09 23:39:56.745719,62,Monitor,1000,2
Chennai,INDIA,92,Denise Stark,2026-02-13 23:39:56.745812,63,Keyboard,1000,2
Chennai,INDIA,7,Darren May,2026-02-07 23:39:56.746002,65,Phone,1000,1
Chennai,INDIA,74,Justin Cross,2026-04-28 23:39:56.746202,67,Tablet,1000,1
Chennai,INDIA,11,Steven Freeman,2026-03-22 23:39:56.746291,68,Tablet,500,2
,INDIA,26,Mark Johnson,2026-03-10 23:39:56.746380,69,Tablet,500,2
Delhi,INDIA,61,Jessica Chen,2026-04-16 23:39:56.746473,70,Tablet,1000,1
Chennai,INDIA,54,Thomas Stevens,2026-01-30 23:39:56.746578,71,Phone,1000,1
Chennai,INDIA,6,Nicole Sampson,2026-05-04 23:39:56.746677,72,Monitor,1000,1
,INDIA,63,Christopher Jackson,2026-03-17 23:39:56.746768,73,Tablet,500,2
,INDIA,3,Cynthia Thompson DDS,2026-02-12 23:39:56.746962,75,Phone,1000,2
,INDIA,31,Vincent Compton,2026-03-25 23:39:56.747062,76,Monitor,1000,2
Chennai,INDIA,71,Raymond Miller,2026-03-19 23:39:56.747173,77,Keyboard,500,2
Delhi,INDIA,17,Alan Lee MD,2026-02-10 23:39:56.747371,79,Keyboard,500,2
,INDIA,41,Jason Carter,2026-04-27 23:39:56.747460,80,Phone,500,1
Delhi,INDIA,23,Lawrence Sullivan,2026-05-05 23:39:56.747551,81,Keyboard,500,1
Delhi,INDIA,81,Cody Gutierrez,2026-02-05 23:39:56.747750,83,Keyboard,500,1
Delhi,INDIA,1,Yolanda Garcia,2026-02-15 23:39:56.747963,85,Laptop,1000,2
Chennai,INDIA,68,Margaret Barrett,2026-02-02 23:39:56.748056,86,Phone,1000,2
,INDIA,87,Dakota Roberts,2026-04-21 23:39:56.748158,87,Laptop,500,1
Chennai,INDIA,90,Kayla Mcdonald,2026-03-30 23:39:56.748281,88,Tablet,500,1
Delhi,INDIA,77,Michael Rodriguez,2026-02-08 23:39:56.748377,89,Phone,1000,2
Delhi,INDIA,33,Erin Smith,2026-03-23 23:39:56.748469,90,Laptop,500,2
Chennai,INDIA,87,Robert Schmidt,2026-02-26 23:39:56.748652,92,Tablet,1000,2
Chennai,INDIA,96,Mitchell Mata,2026-03-26 23:39:56.748760,93,Monitor,1000,2
Delhi,INDIA,52,Michael Stephens,2026-05-05 23:39:56.748858,94,Monitor,1000,1
,INDIA,56,Gabrielle Mccormick,2026-03-07 23:39:56.748952,95,Keyboard,500,1
Delhi,INDIA,20,Joel Davis,2026-04-01 23:39:56.749040,96,Laptop,1000,2
Chennai,INDIA,30,Alexander Guzman,2026-02-18 23:39:56.749130,97,Monitor,1000,1
Chennai,INDIA,38,Amy Lee DDS,2026-03-13 23:39:56.749243,98,Phone,1000,2
Chennai,INDIA,79,Crystal Harrington,2026-03-20 23:39:56.749338,99,Keyboard,1000,2
Delhi,INDIA,73,Dawn Tran,2026-04-05 23:39:56.749430,100,Monitor,1000,2
Chennai,INDIA,31,Richard Golden,2026-02-18 23:39:56.749733,103,Laptop,1000,1
Delhi,INDIA,94,Emily Clark,2026-02-16 23:39:56.749850,104,Monitor,500,2
,INDIA,62,Devon Green,2026-04-21 23:39:56.749943,105,Tablet,1000,2
,INDIA,38,Erin Snyder,2026-02-06 23:39:56.750037,106,Phone,1000,2
Delhi,INDIA,2,Cristian Rodriguez,2026-01-29 23:39:56.750127,107,Phone,1000,1
Chennai,INDIA,54,Gregory Summers,2026-04-01 23:39:56.750218,108,Keyboard,1000,2
,INDIA,26,Matthew Ramsey,2026-04-18 23:39:56.750327,109,Phone,1000,1
Chennai,INDIA,73,Thomas Bates,2026-04-28 23:39:56.750614,112,Phone,1000,1
Chennai,INDIA,18,Sean Harris,2026-03-15 23:39:56.750704,113,Phone,500,2
Chennai,INDIA,44,Michele Pena,2026-04-22 23:39:56.750798,114,Phone,1000,1
Delhi,INDIA,98,John Palmer,2026-02-13 23:39:56.750905,115,Keyboard,500,1
Chennai,INDIA,90,Michael West,2026-04-17 23:39:56.750999,116,Laptop,500,1
,INDIA,18,Stacy Strickland,2026-02-10 23:39:56.751095,117,Tablet,1000,1
Chennai,INDIA,27,Isaac Silva,2026-05-06 23:39:56.751274,119,Keyboard,500,2
,INDIA,81,Cody Long,2026-03-25 23:39:56.751376,120,Keyboard,1000,1
Delhi,INDIA,26,William Wilson,2026-04-13 23:39:56.751469,121,Monitor,500,2
Delhi,INDIA,96,Meghan Porter,2026-02-15 23:39:56.751664,123,Keyboard,1000,2
,INDIA,30,Samuel Robbins,2026-03-25 23:39:56.751755,124,Keyboard,500,2
Delhi,INDIA,27,Timothy Peterson,2026-04-27 23:39:56.751881,125,Tablet,1000,2
Chennai,INDIA,79,Christian Bryan,2026-04-01 23:39:56.751993,126,Keyboard,500,1
Delhi,INDIA,1,Cathy Hester,2026-03-14 23:39:56.752092,127,Keyboard,500,1
Chennai,INDIA,84,Patrick Burton,2026-04-03 23:39:56.752182,128,Laptop,1000,1
Chennai,INDIA,59,Sarah Dean,2026-04-22 23:39:56.752276,129,Monitor,500,1
,INDIA,12,Gregory Silva,2026-03-17 23:39:56.752378,130,Tablet,1000,1
Delhi,INDIA,87,Charles Smith,2026-03-15 23:39:56.752480,131,Monitor,1000,2
Delhi,INDIA,73,Amber Nichols,2026-04-16 23:39:56.752761,134,Laptop,1000,2
,INDIA,48,Joshua Perry,2026-02-21 23:39:56.752865,135,Tablet,1000,1
Delhi,INDIA,52,Timothy Smith,2026-04-25 23:39:56.752956,136,Monitor,1000,2
Delhi,INDIA,78,Jason Vasquez,2026-03-03 23:39:56.753069,137,Phone,500,2
,INDIA,33,Ronald Bradley,2026-03-26 23:39:56.753346,140,Tablet,1000,1
,INDIA,20,Whitney Austin,2026-04-18 23:39:56.753527,142,Keyboard,500,2
,INDIA,10,Tracy Chase,2026-04-12 23:39:56.753619,143,Monitor,1000,1
Chennai,INDIA,4,Brandy Peters,2026-03-22 23:39:56.753715,144,Laptop,500,1
Delhi,INDIA,85,Hannah Kent,2026-02-14 23:39:56.753811,145,Tablet,1000,2
,INDIA,79,Melanie Gallegos,2026-02-20 23:39:56.753906,146,Laptop,1000,2
Delhi,INDIA,80,Mark Wilson,2026-02-04 23:39:56.754000,147,Laptop,1000,1
Chennai,INDIA,81,Melissa Carter,2026-03-15 23:39:56.754111,148,Monitor,500,2
Chennai,INDIA,13,Jennifer Kirk,2026-03-03 23:39:56.754212,149,Keyboard,1000,1
Delhi,INDIA,24,Jeffrey Rodriguez,2026-03-30 23:39:56.754308,150,Monitor,500,2
Chennai,INDIA,21,Ashley Henson,2026-05-06 23:39:56.754403,151,Phone,500,1
,INDIA,50,Vanessa Phillips,2026-02-08 23:39:56.754495,152,Monitor,500,2
Delhi,INDIA,75,Rhonda Ward,2026-02-06 23:39:56.754588,153,Laptop,500,1
Chennai,INDIA,56,Stephanie Lewis,2026-03-13 23:39:56.754682,154,Keyboard,500,2
Chennai,INDIA,9,Matthew Chapman,2026-04-25 23:39:56.754782,155,Tablet,1000,2
,INDIA,9,Brenda Paul,2026-04-29 23:39:56.754964,157,Phone,500,1
Chennai,INDIA,66,William Webb,2026-04-12 23:39:56.755053,158,Tablet,500,2
